feature,importance,stddev,p_value,n,p99_high,p99_low
Attendance,0.7562599049128368,0.004935788114864482,2.177199917874335e-10,5,0.7664227608611843,0.7460970489644893
Hours_Studied,0.7347068145800317,0.01720058770360083,3.602307672097462e-08,5,0.7701230623991324,0.699290566760931
Previous_Scores,0.5385103011093502,0.01903063461461561,1.868510069965534e-07,5,0.5776946408121666,0.4993259614065337
Parental_Involvement,0.529001584786054,0.028247449973083285,9.718988544724928e-07,5,0.5871634747018815,0.4708396948702264
Access_to_Resources,0.502377179080824,0.02210194244212576,4.483977756497387e-07,5,0.5478853840504693,0.45686897411117877
Tutoring_Sessions,0.4491283676703645,0.023172585390090962,8.473393575993288e-07,5,0.49684104126772827,0.40141569407300076
Parental_Education_Level,0.3347068145800317,0.02709010863117797,5.104841027722273e-06,5,0.3904857226767189,0.27892790648334453
Peer_Influence,0.32234548335974644,0.014976018579939724,5.574828481318485e-07,5,0.35318131260641616,0.2915096541130767
Family_Income,0.30301109350237715,0.019838331313199495,2.1922479550998562e-06,5,0.3438584918711326,0.2621636951336217
Motivation_Level,0.30237717908082407,0.008340854115334877,6.940437210632874e-08,5,0.31955111298715366,0.28520324517449447
Distance_from_Home,0.23645007923930267,0.011395041529158512,6.452728300812097e-07,5,0.25991262724405123,0.2129875312345541
Teacher_Quality,0.2307448494453248,0.01250877163909421,1.0323145120611289e-06,5,0.25650058313981694,0.20498911575083265
Extracurricular_Activities,0.20824088748019015,0.015792295617563384,3.938903271697561e-06,5,0.2407574424294746,0.1757243325309057
Physical_Activity,0.1866877971473851,0.013419311017443128,3.1816497888733633e-06,5,0.21431834400688932,0.15905725028788087
Learning_Disabilities,0.14326465927099835,0.010060583358544456,2.8991283374285895e-06,5,0.1639795394582806,0.12254977908371611
Internet_Access,0.11251980982567351,0.011482865884460739,1.2836887417766214e-05,5,0.13616318939185096,0.08887643025949607
School_Type,0.0019017432646592392,0.003048396840201478,0.11774818012972454,5,0.008178434491955959,-0.004374947962637481
Sleep_Hours,0.0006339144215530724,0.0042818561287183,0.3786141749687475,5,0.009450315372125024,-0.008182486529018878
Gender,0.00031695721077651395,0.0036138682253538295,0.42703985168909264,5,0.007757961835747044,-0.007124047414194016
